price,Price_Ln,price_sqm,Price_sqm_Ln,sqm,sqm_Ln,Age,Age_Ln,floor,floortotal,d_elevator,d_poor,d_satisf,d_good,d_1room,d_2room,d_3room,d_morethan3,d_00320,d_00400
"224,000",12.3194,"4,667",8.44827,48,3.8712,64,4.15888,4,4,0,0,0,1,0,1,0,0,0,1
"200,000",12.20607,"3,922",8.27436,51,3.93183,61,4.11087,3,3,0,0,1,0,0,1,0,0,0,1
"210,000",12.25486,"4,941",8.50532,42.5,3.7495,61,4.11087,3,4,0,0,1,0,0,1,0,0,0,1
"200,000",12.20607,"4,082",8.31434,49,3.89182,61,4.11087,1,4,0,0,1,0,0,1,0,0,0,1
"195,000",12.18075,"4,149",8.33062,47,3.85015,65,4.17439,2,3,0,0,1,0,0,1,0,0,0,1
"255,000",12.44902,"5,204",8.55718,49,3.89182,66,4.18965,1,4,0,0,0,1,0,1,0,0,0,1
"173,000",12.06105,"2,883",7.96659,60,4.09434,46,3.82864,4,6,1,0,0,1,0,1,0,0,0,1
"175,000",12.07254,"2,869",7.96172,61,4.11087,46,3.82864,2,3,0,0,1,0,0,1,0,0,0,1
"174,000",12.06681,"4,244",8.35326,41,3.71357,65,4.17439,3,3,0,0,1,0,0,1,0,0,0,1
"205,000",12.23077,"5,256",8.56713,39,3.66356,64,4.15888,2,4,0,0,0,1,0,1,0,0,0,1
"214,000",12.27373,"5,095",8.53601,42,3.73767,63,4.14313,1,3,0,0,0,1,0,1,0,0,0,1
"228,000",12.3371,"4,957",8.50856,46,3.82864,66,4.18965,1,4,0,0,1,0,0,1,0,0,0,1
"148,500",11.90834,"3,160",8.05833,47,3.85015,46,3.82864,1,6,0,0,1,0,0,1,0,0,0,1
"218,000",12.29225,"4,542",8.42112,48,3.8712,63,4.14313,2,3,0,0,0,1,0,1,0,0,0,1
"220,000",12.30138,"4,583",8.43011,48,3.8712,64,4.15888,5,6,1,0,1,0,0,1,0,0,0,1
"150,000",11.91839,"3,333",8.11163,45,3.80666,45,3.80666,4,6,1,0,1,0,0,1,0,0,0,1
"169,000",12.03765,"4,829",8.48239,35,3.55535,62,4.12713,7,10,1,0,1,0,0,1,0,0,0,1
"217,000",12.28765,"4,989",8.51499,43.5,3.77276,61,4.11087,1,3,0,0,0,1,0,1,0,0,0,1
"220,000",12.30138,"5,176",8.55179,42.5,3.7495,62,4.12713,3,3,0,0,0,1,0,1,0,0,0,1
"212,000",12.26434,"4,874",8.49167,43.5,3.77276,61,4.11087,2,3,0,0,1,0,0,1,0,0,0,1
"151,500",11.92834,"3,223",8.07807,47,3.85015,46,3.82864,3,6,0,0,1,0,0,1,0,0,0,1
"200,000",12.20607,"4,255",8.35585,47,3.85015,65,4.17439,1,3,0,0,1,0,0,1,0,0,0,1
"220,000",12.30138,"4,583",8.43011,48,3.8712,61,4.11087,3,3,0,0,0,1,0,1,0,0,0,1
"210,000",12.25486,"5,060",8.52912,41.5,3.72569,66,4.18965,3,4,0,0,0,1,0,1,0,0,0,1
"226,000",12.32829,"4,809",8.47824,47,3.85015,62,4.12713,8,10,1,0,0,1,0,1,0,0,0,1
"231,000",12.35017,"4,400",8.38936,52.5,3.96081,59,4.07754,4,4,0,0,0,1,0,1,0,0,0,1
"223,413",12.31678,"4,513",8.41472,49.5,3.90197,64,4.15888,1,3,0,0,1,0,0,1,0,0,0,1
"290,000",12.57764,"4,974",8.51198,58.3,4.0656,64,4.15888,2,7,1,0,0,1,0,0,1,0,0,1
"240,000",12.38839,"4,068",8.31091,59,4.07754,64,4.15888,3,3,0,0,0,1,0,0,1,0,0,1
